cycle,actual_acc,actual_valid
963,-407,1
964,-407,0
965,-407,0
966,-4167,1
967,-4167,0
968,-4167,0
969,-5167,1
970,-5167,0
971,-5167,0
972,-5167,0
973,0,0
974,0,0
975,0,0
976,-9072,1
977,-9072,1
978,-9072,0
979,-9072,0
980,-4748,1
981,-6053,1
982,-6053,0
983,-6053,0
984,-6053,0
985,-6053,0
986,-6053,0
987,-6053,1
988,-6053,0
989,-6053,0
990,-6053,0
991,-6053,0
992,-6053,0
993,-6494,1
994,-2138,1
995,-2138,0
996,-2964,1
997,-15764,1
998,-15764,0
999,-15764,0
1000,-15764,0
1001,-15764,0
1002,-17822,1
1003,-17822,0
1004,-17822,0
1005,-17822,0
1006,-17822,0
1007,-18962,1
1008,-18962,0
1009,-18962,0
1010,-18962,0
1011,-19007,1
1012,-19007,0
1013,-19007,0
1014,-19007,0
1015,-19007,0
1016,-19007,0
1017,-19007,0
1018,-19007,0
1019,-19007,0
1020,-19007,0
1021,-16781,1
1022,-16781,0
1023,-16781,0
1024,-16781,0
1025,-16781,0
1026,-16781,0
1027,-16781,0
1028,-16121,1
1029,-16121,0
1030,-15901,1
1031,-15901,0
1032,-15901,0
1033,-15901,0
1034,-15901,0
1035,-15901,0
1036,-15901,0
1037,-15901,0
1038,-20698,1
1039,-20698,0
1040,-20698,0
1041,0,0
1042,0,0
1043,0,0
1044,0,0
1045,0,0
1046,0,0
1047,0,0
1048,0,0
1049,0,0
1050,3300,1
1051,3300,0
1052,-1005,1
1053,-1151,1
1054,-1151,0
1055,-4946,1
1056,-12790,1
1057,-12790,0
1058,-12790,0
1059,-12790,0
1060,-11474,1
1061,-11474,0
1062,-11474,0
1063,-11474,0
1064,-11474,0
1065,-11474,0
1066,-12179,1
1067,-2988,1
1068,-3528,1
1069,-3528,0
1070,-10920,1
1071,-12904,1
1072,-12904,0
1073,-12904,0
1074,-12904,0
1075,-12904,0
1076,-12904,0
1077,-12904,0
1078,-18404,1
1079,-18404,0
1080,-18404,0
1081,-20044,1
1082,-20044,0
1083,-20044,0
1084,-15964,1
1085,-15964,0
1086,-15964,0
1087,-15964,0
1088,-15964,0
1089,-14344,1
1090,-17634,1
1091,-17634,0
1092,-17634,0
1093,-17634,0
1094,-24362,1
1095,-18522,1
1096,-18522,0
1097,-18522,0
1098,-18522,0
1099,-18522,0
1100,-18522,0
1101,-18522,0
1102,-18522,0
1103,-18522,0
1104,-18522,0
1105,-18522,0
1106,-16632,1
1107,-16632,0
1108,-16632,0
1109,-16632,0
1110,-16632,0
1111,-16632,0
1112,-16632,0
1113,-16632,0
1114,-16632,0
1115,-16632,0
1116,-24237,1
1117,-24237,0
1118,-24237,0
1119,-24237,0
1120,-18927,1
1121,-18927,0
1122,-18927,0
1123,-18927,0
1124,-18927,0
1125,-16883,1
1126,-19715,1
1127,-19715,0
